series_id,model,mae,smape
M38360,seasonal_naive,48.888889,1.016091
M38360,auto_theta,46.304904,0.964727
M38360,auto_ets,21.638219,0.447139
M33017,naive,4362.457098,54.406137
M33017,seasonal_naive,2084.544486,36.417053
M33017,auto_theta,10754.111806,83.628708
M33017,auto_ets,4248.324120,52.159772
M12430,naive,207.777778,6.318546
M12430,seasonal_naive,71.111111,2.219405
M12430,auto_theta,66.683137,2.056630
M12430,auto_ets,73.732908,2.260751
M33772,naive,1494.216444,12.676184
M33772,seasonal_naive,1410.842056,13.642586
M33772,auto_theta,1252.963845,11.955178
M33772,auto_ets,1123.965485,10.415451
M6341,naive,284.746528,5.268100
M6341,seasonal_naive,268.084722,4.995495
M6341,auto_theta,112.637534,2.056767
M6341,auto_ets,116.773698,2.137808
M16502,naive,315.277778,7.077690
M16502,seasonal_naive,421.061111,9.304392
M16502,auto_theta,332.561523,7.503253
M16502,auto_ets,289.015868,6.497025
M32262,naive,7213.772778,130.237364
M32262,seasonal_naive,3442.610000,50.345270
M32262,auto_theta,3768.765206,52.560481
M32262,auto_ets,3717.195452,51.733922
M45792,naive,78.613889,7.996103
M45792,seasonal_naive,318.336111,27.620012
M45792,auto_theta,161.508221,15.732603
M45792,auto_ets,155.771134,15.242049
M30603,naive,672.222222,7.054203
M30603,seasonal_naive,466.666667,4.895223
M30603,auto_theta,493.349448,5.165397
M30603,auto_ets,405.276088,4.347780
M5081,naive,177.284565,4.442677
M5081,seasonal_naive,97.097083,2.453870
M5081,auto_theta,157.797838,3.890817
M5081,auto_ets,173.442953,4.260562
M12529,naive,126.666667,3.307614
M12529,seasonal_naive,128.888889,3.400538
M12529,auto_theta,93.121723,2.440173
M12529,auto_ets,80.788897,2.111048
M2580,naive,96.666667,1.430494
M2580,seasonal_naive,89.333333,1.318789
M2580,auto_theta,50.680973,0.746292
M2580,auto_ets,38.875697,0.572695
M46344,naive,325.081222,5.951791
M46344,seasonal_naive,607.493333,11.570410
M46344,auto_theta,280.060624,5.133340
M46344,auto_ets,325.081222,5.951791
M31613,naive,278.888889,5.935373
M31613,seasonal_naive,935.000000,17.368195
M31613,auto_theta,231.339649,4.889898
M31613,auto_ets,473.185630,10.338460
M17610,naive,1005.555556,28.314175
M17610,seasonal_naive,705.555556,19.705685
M17610,auto_theta,1060.857769,31.902197
M17610,auto_ets,1005.555553,28.314175
M39483,naive,118.777778,2.568609
M39483,seasonal_naive,90.111111,1.955343
M39483,auto_theta,126.329973,2.728723
M39483,auto_ets,115.899385,2.506941
M17963,naive,950.000000,26.261933
M17963,seasonal_naive,2333.333333,49.248948
M17963,auto_theta,798.118865,22.771993
M17963,auto_ets,737.761496,23.556813
M30283,naive,461.162778,20.141493
M30283,seasonal_naive,430.242222,18.240289
M30283,auto_theta,392.627793,17.385735
M30283,auto_ets,391.099370,17.350334
M12470,naive,60.000000,2.473510
M12470,seasonal_naive,72.222222,3.009519
M12470,auto_theta,48.115098,1.985324
M12470,auto_ets,54.119304,2.235990
M40800,naive,71.905556,4.780084
M40800,seasonal_naive,68.066667,4.522008
M40800,auto_theta,65.101297,4.325987
M40800,auto_ets,71.905556,4.780084
M13578,naive,549.794444,17.863887
M13578,seasonal_naive,716.038889,24.411301
M13578,auto_theta,552.880078,17.977945
M13578,auto_ets,543.646271,17.642140
M38839,naive,244.444444,2.409829
M38839,seasonal_naive,177.777778,1.744835
M38839,auto_theta,149.948824,1.476157
M38839,auto_ets,136.960704,1.353692
M7375,naive,561.111111,11.483902
M7375,seasonal_naive,527.777778,10.813849
M7375,auto_theta,319.189012,6.949458
M7375,auto_ets,1153.202542,21.841829
M29388,naive,193.888889,2.971698
M29388,seasonal_naive,273.888889,4.235183
M29388,auto_theta,98.831471,1.506829
M29388,auto_ets,80.412027,1.223064
M41495,naive,672.222222,28.124457
M41495,seasonal_naive,394.444444,15.377650
M41495,auto_theta,390.282887,15.205441
M41495,auto_ets,278.367857,10.738853
M4505,naive,1161.111111,16.535757
M4505,seasonal_naive,1272.222222,18.889160
M4505,auto_theta,1082.198461,15.493262
M4505,auto_ets,1146.758898,16.525261
M24565,naive,165.478880,2.941670
M24565,seasonal_naive,129.823570,2.300343
M24565,auto_theta,43.140416,0.757469
M24565,auto_ets,41.104683,0.721793
M43082,naive,242.555556,9.891416
M43082,seasonal_naive,192.111111,8.035439
M43082,auto_theta,272.243951,10.980056
M43082,auto_ets,205.891698,8.498599
M41390,naive,461.111111,6.943133
M41390,seasonal_naive,677.777778,9.965267
M41390,auto_theta,354.474590,5.368813
M41390,auto_ets,328.288792,4.970342
M15005,naive,932.135894,12.331276
M15005,seasonal_naive,585.407208,7.924095
M15005,auto_theta,459.065851,6.255602
M15005,auto_ets,443.452549,6.062183
M8593,naive,1248.888889,20.445021
M8593,seasonal_naive,1191.111111,19.584929
M8593,auto_theta,1512.510832,24.093697
M8593,auto_ets,271.111078,5.660187
M5755,naive,422.336104,11.459375
M5755,seasonal_naive,529.449248,15.188181
M5755,auto_theta,388.436902,10.541979
M5755,auto_ets,380.677919,10.332009
M16818,naive,239.500000,2.957239
M16818,seasonal_naive,355.444444,4.456758
M16818,auto_theta,234.685732,2.887772
M16818,auto_ets,435.935928,5.234058
M15385,naive,59.166667,3.756539
M15385,seasonal_naive,62.555556,3.972337
M15385,auto_theta,37.737811,2.379451
M15385,auto_ets,70.191154,4.480470
M45346,naive,350.555556,5.508634
M45346,seasonal_naive,827.222222,13.631871
M45346,auto_theta,275.977951,4.309423
M45346,auto_ets,65.057824,1.002427
M8046,naive,298.888889,31.537672
M8046,seasonal_naive,231.666667,24.520549
M8046,auto_theta,213.290613,23.698490
